date,open,high,low,close,Adj Close,volume
02-08-2013,630,634.799988,626.849976,631.25,608.275085,5003962
05-08-2013,631.549988,635.450012,615,632.700012,609.672302,3399593
06-08-2013,631,631.349976,606.5,608.650024,586.497742,4911295
07-08-2013,609.950012,614.349976,600,601.200012,579.318848,5689114
08-08-2013,604,617.5,600,610.5,588.280396,5115362
12-08-2013,610.049988,610.799988,598.650024,602.200012,580.28241,3925217
13-08-2013,603.849976,624.799988,598.150024,620.5,597.916382,3675598
14-08-2013,622,623.650024,608.650024,621.349976,598.735413,3575927
16-08-2013,614,622,584.900024,587.900024,566.50293,7014892
19-08-2013,587,588.599976,570.299988,584.700012,563.419373,5004610
20-08-2013,574.950012,589.900024,566.5,584.75,563.467529,6431746
21-08-2013,606,619.349976,590,593.349976,571.754517,7227149
22-08-2013,589,603.700012,570,588.700012,567.273865,7562673
23-08-2013,592,609.150024,588.299988,607.549988,585.437622,5174611
26-08-2013,612.349976,622.799988,602.549988,611.299988,589.051208,3651902
27-08-2013,597.299988,600,555.450012,561.900024,541.449158,13677093
28-08-2013,555.700012,572,528,561.950012,541.497375,9266888
29-08-2013,568,582.5,568,572.049988,551.229736,10192751
30-08-2013,571,600,570.650024,594,572.380859,9154229
02-09-2013,598,604.349976,582.5,589.5,568.044678,4878929
03-09-2013,596.900024,596.900024,557.049988,562.549988,542.0755,4535002
04-09-2013,567.450012,576.849976,559.150024,564.049988,543.520935,5235450
05-09-2013,584,622.900024,584,609.5,587.316772,8311562
06-09-2013,611,620,586.75,616.200012,593.772888,4749304
10-09-2013,620.549988,641,618.400024,638,614.77948,5074709
11-09-2013,633,650,625.549988,647.25,623.69281,3172598
12-09-2013,642.5,646,627.599976,633.950012,610.876831,4419134
13-09-2013,632.450012,634.5,621,629.200012,606.299744,3875780
16-09-2013,637.5,648.900024,629,642.799988,619.404785,3034804
17-09-2013,638,645,633.599976,642.25,618.874756,2108022
18-09-2013,643.599976,654.900024,631.150024,650.5,626.824463,2747404
